Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,9,C. PRATHIYOUVE,Independent,10,0,10,0.08,2026-05-04 05:10:56
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,10,M. PRABAGARAN,Independent,1961,49,2010,16.85,2026-05-04 05:10:56
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,11,P. VIJAYABHAASGAR,Independent,12,0,12,0.1,2026-05-04 05:10:56
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,12,NOTA,None of the Above,83,1,84,0.7,2026-05-04 05:10:56
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,1,VAIYAPURI MANIKANDAN,All India N.R. Congress,8250,132,8382,35.58,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,2,EERAM G. RAJENDRAN,Indian National Congress,7369,61,7430,31.54,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,3,M. FARITHA BEGUM,Naam Tamilar Katchi,312,3,315,1.34,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,4,J. PRAKASH KUMAR,Tamilaga Vettri Kazhagam,3588,23,3611,15.33,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,5,K. HARIDASS,Pattali Makkal Katchi,14,0,14,0.06,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,6,EGAMBARAM GANDHI,Independent,25,0,25,0.11,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,7,R. CHANDRUJI,Independent,252,3,255,1.08,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,8,BALAMURUGAN,Independent,35,1,36,0.15,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,9,C. PRATHIYOUVE,Independent,20,0,20,0.08,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,10,M. PRABAGARAN,Independent,3236,49,3285,13.94,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,11,P. VIJAYABHAASGAR,Independent,25,0,25,0.11,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,12,NOTA,None of the Above,161,1,162,0.69,2026-05-04 05:48:35
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,1,VAIYAPURI MANIKANDAN,All India N.R. Congress,8250,132,8382,35.58,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,2,EERAM G. RAJENDRAN,Indian National Congress,7369,61,7430,31.54,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,3,M. FARITHA BEGUM,Naam Tamilar Katchi,312,3,315,1.34,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,4,J. PRAKASH KUMAR,Tamilaga Vettri Kazhagam,3588,23,3611,15.33,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,5,K. HARIDASS,Pattali Makkal Katchi,14,0,14,0.06,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,6,EGAMBARAM GANDHI,Independent,25,0,25,0.11,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,7,R. CHANDRUJI,Independent,252,3,255,1.08,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,8,BALAMURUGAN,Independent,35,1,36,0.15,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,9,C. PRATHIYOUVE,Independent,20,0,20,0.08,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,10,M. PRABAGARAN,Independent,3236,49,3285,13.94,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,11,P. VIJAYABHAASGAR,Independent,25,0,25,0.11,2026-05-04 07:59:23
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,12,NOTA,None of the Above,161,1,162,0.69,2026-05-04 07:59:23
