Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,1,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,2,RANJITH KUMAR  M,Bahujan Samaj Party,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,3,VIDJAIVIKRAM S,Naam Tamilar Katchi,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,4,VENKATESAN L,Desiya Murpokku Dravida Kazhagam,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,5,AYYANAR N,Anti Corruption Dynamic Party,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,6,ANANDHABABU M,Tamizhaga Vaazhvurimai Katchi,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,7,SURESH KUMAR S,Indhia Kudiarasu Katchi,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,8,SEKAR NAYAKAR I M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,9,DIVYA P,Naam Indiar Party,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,10,PURUSHOTHAMAN K,Desiya Makkal Sakthi Katchi,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,11,MANAVALAN A,Anna MGR Dravida Makkal Kalgam,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,12,VINOTH R,Thakkam Katchi,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,13,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,14,KARVANNAN K,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,15,KRISHNAMURTHY K,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,16,GOPU V S,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,17,SIVA S,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,18,SUNDAR C,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,19,TAMIZHARASAN M,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,20,RANJITHA V,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,21,VIJAYAGANTH K,Independent,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,22,NOTA,None of the Above,0,0,0,0.0,2026-05-04 03:44:54
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,1,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,4448,0,4448,48.01,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,2,RANJITH KUMAR  M,Bahujan Samaj Party,23,0,23,0.25,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,3,VIDJAIVIKRAM S,Naam Tamilar Katchi,235,0,235,2.54,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,4,VENKATESAN L,Desiya Murpokku Dravida Kazhagam,2064,0,2064,22.28,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,5,AYYANAR N,Anti Corruption Dynamic Party,10,0,10,0.11,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,6,ANANDHABABU M,Tamizhaga Vaazhvurimai Katchi,3,0,3,0.03,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,7,SURESH KUMAR S,Indhia Kudiarasu Katchi,2,0,2,0.02,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,8,SEKAR NAYAKAR I M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,4,0,4,0.04,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,9,DIVYA P,Naam Indiar Party,4,0,4,0.04,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,10,PURUSHOTHAMAN K,Desiya Makkal Sakthi Katchi,1,0,1,0.01,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,11,MANAVALAN A,Anna MGR Dravida Makkal Kalgam,20,0,20,0.22,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,12,VINOTH R,Thakkam Katchi,18,0,18,0.19,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,13,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,2279,0,2279,24.6,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,14,KARVANNAN K,Independent,7,0,7,0.08,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,15,KRISHNAMURTHY K,Independent,12,0,12,0.13,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,16,GOPU V S,Independent,34,0,34,0.37,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,17,SIVA S,Independent,28,0,28,0.3,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,18,SUNDAR C,Independent,16,0,16,0.17,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,19,TAMIZHARASAN M,Independent,10,0,10,0.11,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,20,RANJITHA V,Independent,19,0,19,0.21,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,21,VIJAYAGANTH K,Independent,8,0,8,0.09,2026-05-04 04:08:39
2026_RESULTS,Tamil Nadu,S22,71,S22-071,MAILAM,22,NOTA,None of the Above,20,0,20,0.22,2026-05-04 04:08:39
