Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,1,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,2,PRASENJIT PUITANDY,Indian National Congress,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,3,MOLOY GHATAK,All India Trinamool Congress,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,4,AKHILESH KUMAR SINGH,Communist Party of India,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,5,KALLOL KUMAR RAY,Socialist Unity Centre Of India (COMMUNIST),0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,6,DANISH AZIZ,All India Majlis-E-Ittehadul Muslimeen,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,7,BALIRAM GOND,Gondvana Gantantra Party,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,8,ANOWAR ALI,Independent,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,9,KRISHNENDU CHATTERJEE,Independent,0,0,0,0.0,2026-05-04 09:07:05
2026_RESULTS,West Bengal,S25,281,S25-281,ASANSOL UTTAR,10,KRISHNENDU MUKHOPADHYAY,Independent,0,0,0,0.0,2026-05-04 09:07:05
