Election_Id,State,State_Code,Party,Won,Leading,Total,Timestamp
2026_RESULTS,West Bengal,S25,Bharatiya Gorkha Prajatantrik Morcha - BGPM,0,1,1,2026-05-04 09:20:46
2026_RESULTS,West Bengal,S25,Bharatiya Janata Party - BJP,0,1,1,2026-05-04 09:20:46
2026_RESULTS,Tamil Nadu,S22,All India Anna Dravida Munnetra Kazhagam - ADMK,0,5,5,2026-05-04 09:20:57
2026_RESULTS,Tamil Nadu,S22,Tamilaga Vettri Kazhagam - TVK,0,3,3,2026-05-04 09:20:57
2026_RESULTS,Tamil Nadu,S22,Communist Party of India - CPI,0,1,1,2026-05-04 09:20:57
2026_RESULTS,Tamil Nadu,S22,Dravida Munnetra Kazhagam - DMK,0,1,1,2026-05-04 09:20:57
2026_RESULTS,Assam,S03,Bharatiya Janata Party - BJP,0,13,13,2026-05-04 09:21:14
2026_RESULTS,Assam,S03,Indian National Congress - INC,0,2,2,2026-05-04 09:21:14
2026_RESULTS,Assam,S03,Bodoland Peoples Front - BOPF,0,2,2,2026-05-04 09:21:14
2026_RESULTS,Assam,S03,Asom Gana Parishad - AGP,0,1,1,2026-05-04 09:21:14
2026_RESULTS,Kerala,S11,Indian National Congress - INC,0,19,19,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Communist Party of India (Marxist) - CPI(M),0,9,9,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Indian Union Muslim League - IUML,0,3,3,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Communist Party of India - CPI,0,2,2,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Kerala Congress - KEC,0,2,2,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Revolutionary Socialist Party - RSP,0,2,2,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Rashtriya Janata Dal - RJD,0,1,1,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Revolutionary Marxist Party of India - RMPOI,0,1,1,2026-05-04 09:21:16
2026_RESULTS,Kerala,S11,Independent - IND,0,1,1,2026-05-04 09:21:16
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,2,2,2026-05-04 09:21:18
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 09:21:18
2026_RESULTS,West Bengal,S25,Bharatiya Janata Party - BJP,0,1,1,2026-05-04 09:06:45
2026_RESULTS,Tamil Nadu,S22,All India Anna Dravida Munnetra Kazhagam - ADMK,0,3,3,2026-05-04 09:18:08
2026_RESULTS,Tamil Nadu,S22,Tamilaga Vettri Kazhagam - TVK,0,2,2,2026-05-04 09:18:08
2026_RESULTS,Tamil Nadu,S22,Communist Party of India - CPI,0,1,1,2026-05-04 09:18:08
2026_RESULTS,Tamil Nadu,S22,Dravida Munnetra Kazhagam - DMK,0,1,1,2026-05-04 09:18:08
